scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S0,0,B0,peak,0,0,0,0,0.000000,0,0,0,0,1540,299148490,485,101653973,0.314935,0,0,485,0,0,0,0,0,0,0,,fbb8d90238a05e36cd66f1762ed57a41dddd03c1c7f71c1d1ac667db20c87647
S0,0,B1,peak,0,0,0,0,0.000000,0,0,0,0,1540,299148490,882,175200235,0.572727,430,0,452,891,891,23,0,0,555,0,,fbb8d90238a05e36cd66f1762ed57a41dddd03c1c7f71c1d1ac667db20c87647
S0,0,B2,peak,0,0,0,0,0.000000,0,0,0,0,1540,299148490,874,174754202,0.567532,407,0,467,1088,733,25,0,0,483,0,,fbb8d90238a05e36cd66f1762ed57a41dddd03c1c7f71c1d1ac667db20c87647
S0,0,agent,peak,0,0,0,0,0.000000,0,0,0,0,1540,299148490,485,101653973,0.314935,0,0,485,0,0,0,0,0,0,0,,fbb8d90238a05e36cd66f1762ed57a41dddd03c1c7f71c1d1ac667db20c87647
S0,1,B0,peak,0,0,0,0,0.000000,0,0,0,0,1512,210389718,459,66680216,0.303571,0,0,459,0,0,0,0,0,0,0,,58490f81d58658de23008f1aa6d47987f9a676f814273df52045bda92aedefa3
S0,1,B1,peak,0,0,0,0,0.000000,0,0,0,0,1512,210389718,870,126162530,0.575397,445,0,425,881,881,32,0,0,532,0,,58490f81d58658de23008f1aa6d47987f9a676f814273df52045bda92aedefa3
S0,1,B2,peak,0,0,0,0,0.000000,0,0,0,0,1512,210389718,857,124268038,0.566799,416,0,441,1086,733,31,0,0,478,0,,58490f81d58658de23008f1aa6d47987f9a676f814273df52045bda92aedefa3
S0,1,agent,peak,0,0,0,0,0.000000,0,0,0,0,1512,210389718,459,66680216,0.303571,0,0,459,0,0,0,0,0,0,0,,58490f81d58658de23008f1aa6d47987f9a676f814273df52045bda92aedefa3
S0,2,B0,peak,0,0,0,0,0.000000,0,0,0,0,1466,308160651,507,110648104,0.345839,0,0,507,0,0,0,0,0,0,0,,9c12dff6086e6a71d750a98b775f75ce364eea1e2696cda65c8d156501070116
S0,2,B1,peak,0,0,0,0,0.000000,0,0,0,0,1466,308160651,892,193950025,0.608458,426,0,466,846,846,8,0,0,517,0,,9c12dff6086e6a71d750a98b775f75ce364eea1e2696cda65c8d156501070116
S0,2,B2,peak,0,0,0,0,0.000000,0,0,0,0,1466,308160651,891,194702465,0.607776,400,0,491,985,672,15,0,0,447,0,,9c12dff6086e6a71d750a98b775f75ce364eea1e2696cda65c8d156501070116
S0,2,agent,peak,0,0,0,0,0.000000,0,0,0,0,1466,308160651,507,110648104,0.345839,0,0,507,0,0,0,0,0,0,0,,9c12dff6086e6a71d750a98b775f75ce364eea1e2696cda65c8d156501070116
